fips,Census Tract,Total Population,Population Density (Per Sq. Mile),"Area (Land, in Sq. Miles)",Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More Races,% Total Population: White Alone,% Total Population: Black or African American Alone,% Total Population: American Indian and Alaska Native Alone,% Total Population: Asian Alone,% Total Population: Native Hawaiian and Other Pacific Islander Alone,% Total Population: Some Other Race Alone,% Total Population: Two or More Races,Population 25 Years and Over: Less than High School,Population 25 Years and Over: High School Graduate (Includes Equivalency),Population 25 Years and Over: Some College,Population 25 Years and Over: Bachelor's Degree,Population 25 Years and Over: Master's Degree,Population 25 Years and Over: Professional School Degree,Population 25 Years and Over: Doctorate Degree,% Population: Less than High School,% Population: High School Graduate,% Population: Some College,% Population: Bachelor's Degree,% Population: Master's Degree,% Population: Professional School,% Population: Doctorate Degree,% Civilian Population in Labor Force 16 Years and Over: Unemployed,Median Family Income,% Households: No Earnings,% Households: with Wage or Salary Income,% Households: with Self-Employment Income,"% Households: with Interest, Dividends, or Net Rental Income",% Households: with Social Security Income,% Households: with Supplemental Security Income (Ssi),% Households: with Public Assistance Income,% Households: with Retirement Income,% Households: with Other Types of Income,Per Capita Income (In 2016 Inflation Adjusted Dollars),Gini Index,% Occupied Housing Units: Owner Occupied,Median Gross Rent,"% Households: Less than $40,000","% Households: $40,000 to $75,000","% Households: $75,000 to $125,000","% Households: $125,000 and Over",% Workers with Less than 20 Minute Commute,% Workers with 20 to 40 Minute Commute,% Workers with Over 40 Minute Commute,% Workers with No Commute
41051005600,Census Tract 56,5509,28994.13,0.190003969130359,4054,190,26,715,75,108,341,73.59,3.45,0.47,12.98,1.36,1.96,6.19,121,122,926,933,621,78,142,4.11,4.15,31.46,31.7,21.1,2.65,4.83,18.32,30157,29.41,63.59,11.92,18.52,20.19,6.68,4.33,8.27,21.7,23955,0.5382,9.82,1076,62.089999999999996,18.81,13.95,5.17,56.07,28.73,9.76,5.43
41051005700,Census Tract 57,4072,8952.592,0.454840331306554,3110,88,32,316,0,162,364,76.38,2.16,0.79,7.76,0,3.98,8.94,89,254,667,1228,682,192,107,2.76,7.89,20.72,38.15,21.19,5.96,3.32,9.79,58816,16.27,80.43,9.85,36.84,19.57,0,2.25,12.43,16.85,47630,0.4474,28.2,1473,30.200000000000003,32.67,21.439999999999998,15.68,48.61,34.69,8.930000000000001,7.76
41051005800,Census Tract 58,5004,3409.891,1.46749560229623,4180,170,1,476,1,47,129,83.53,3.4,0.02,9.51,0.02,0.94,2.58,21,148,500,1304,758,639,345,0.57,3.98,13.46,35.1,20.4,17.2,9.29,9.61,100598,24.69,72.44,11.17,46.78,24.61,1.31,3.2,19.51,11.42,69201,0.5342,60.47,1199,29.84,10.399999999999999,22.46,37.29,53.730000000000004,36.77,5.92,3.58
41051005900,Census Tract 59,7728,7668.775,1.00772281570417,6209,124,77,459,20,210,629,80.34,1.6,1,5.94,0.26,2.72,8.14,115,292,1461,2568,1273,699,240,1.73,4.39,21.98,38.63,19.15,10.51,3.61,4.57,83219,20.71,75.18,16.39,41,23.26,2.8,1.26,12.8,9.31,59875,0.4614,36.64,1478,23.189999999999998,24.8,23.3,28.7,37.8,42.660000000000004,13.709999999999999,5.84
41051006001,Census Tract 60.01,1498,2134.443,0.701822556706826,1341,43,0,66,0,0,48,89.52,2.87,0,4.41,0,0,3.2,14,31,214,457,188,166,94,1.2,2.66,18.38,39.26,16.15,14.26,8.08,3.78,105357,17.51,78.74,16.84,38.5,25,1.47,1.87,10.03,9.36,76829,0.5228,57.62,1183,24.47,14.709999999999999,19.119999999999997,41.709999999999994,46.099999999999994,37.29,9.38,7.23
41051006002,Census Tract 60.02,2325,4530.724,0.513162995349785,1957,105,3,132,0,13,115,84.17,4.52,0.13,5.68,0,0.56,4.95,13,155,380,645,298,135,92,0.76,9.02,22.12,37.54,17.35,7.86,5.36,5.98,97833,22,74.48,15.5,45.87,29.44,5.48,4.03,23.14,11.36,46925,0.395,67.67,1088,19.95,16.130000000000003,28,35.949999999999996,43.71,41.18,8.27,6.84
41051006100,Census Tract 61,2215,3518.764,0.629482453200555,2085,14,6,38,0,21,51,94.13,0.63,0.27,1.72,0,0.95,2.3,10,83,235,623,413,181,112,0.6,5.01,14.18,37.6,24.92,10.92,6.76,7.25,106023,20.81,75.13,23.31,45.58,25.81,3.43,1.04,22.48,13.42,57514,0.4457,78.25,1174,21.750000000000004,15.190000000000001,23.52,39.54,37.09,44.379999999999995,8.26,10.28
41051006200,Census Tract 62,3250,4747.937,0.684507804669365,2909,107,9,10,14,21,180,89.51,3.29,0.28,0.31,0.43,0.65,5.54,27,148,635,1045,374,194,81,1.08,5.91,25.36,41.73,14.94,7.75,3.23,8.79,93631,9.42,85.49,16.6,38.22,27.45,0.22,1.8,19.07,10.02,49700,0.4099,77.86,1353,13.39,23.41,32.16,31.04,38.67,44.21,7,10.12
41051006300,Census Tract 63,5164,1649.087,3.13142918036686,4357,34,4,292,22,92,363,84.37,0.66,0.08,5.65,0.43,1.78,7.03,37,124,570,966,598,343,144,1.33,4.46,20.49,34.72,21.5,12.33,5.18,8.78,105e3,11.48,84.96,24.56,45.75,25.38,2.16,1.4,16.37,10.03,58844,0.5356,83.44,1450,14.459999999999999,19.86,24.05,41.62,43.64,41.05,6.51,8.8
41051006402,Census Tract 64.02,5687,2539.733,2.23921191912858,5129,0,17,161,0,63,317,90.19,0,0.3,2.83,0,1.11,5.57,54,228,848,1535,634,561,136,1.35,5.71,21.22,38.41,15.87,14.04,3.4,3.36,126484,6.92,87.7,19.32,45.13,18.11,3.34,1.5,15.4,7.02,59873,0.3924,91.09,1757,7.599999999999999,12.93,28.09,51.379999999999995,31.43,50.620000000000005,10.690000000000001,7.26
