X,Y,Date_Inventoried,Species,Condition,Neighborhood,Family,Genus,Common,Size
-122.713427128121,45.5832220583886,2013-07-20,PY,Fair,PORTSMOUTH,Rosaceae,Pyrus,pear,M
-122.629065819665,45.566277824321,2010-08-21,ACPL,Good,CONCORDIA,Sapindaceae,Acer,"maple, Norway",M
-122.634716723164,45.5151297400637,2012-07-29,FR,Fair,SUNNYSIDE,Oleaceae,Fraxinus,ash,M
-122.619024182823,45.4939224851045,2016-08-23,PRPL,Fair,CRESTON-KENILWORTH,Rosaceae,Prunus,plum,S
-122.668612785508,45.5581877832413,2016-08-29,CEJA,Poor,HUMBOLDT,Cercidiphyllaceae,Cercidiphyllum,katsura,M
-122.617779971239,45.5430693398122,2016-07-13,QU,Fair,BEAUMONT-WILSHIRE,Fagaceae,Quercus,"oak, deciduous",L
-122.647375565654,45.5163995697452,2015-08-01,CA,Fair,BUCKMAN,Betulaceae,Carpinus,hornbeam,M
-122.677642851966,45.5483085369289,2014-09-02,ACPL,Fair,BOISE,Sapindaceae,Acer,"maple, Norway",M
-122.644938411135,45.5333448838364,2014-08-23,PRCH,Fair,SULLIVAN'S GULCH,Rosaceae,Prunus,cherry,S
-122.665765125159,45.5743288532882,2013-10-10,MA,Fair,PIEDMONT,Rosaceae,Malus,crabapple,S
-122.685912344518,45.5239408099679,2016-05-11,THPL,Fair,PEARL,Cupressaceae,Thuja,Western redcedar,L
-122.52865926444,45.5557427495213,2016-06-09,CS,Fair,ARGAY,Fagaceae,Castanea,chestnut,L
-122.614661014284,45.5461461163699,NA,ACRU,Fair,ROSE CITY PARK,Sapindaceae,Acer,"maple, red",M
-122.510338925517,45.4740565034446,2016-09-20,ACRU,Fair,PLEASANT VALLEY,Sapindaceae,Acer,"maple, red",M
-122.569044156321,45.4838678708238,2016-07-15,CH,Good,LENTS,Cupressaceae,Chamaecyparis,false cypress,M
-122.631484901877,45.4728775205814,2011-06-25,ACPL,Good,EASTMORELAND,Sapindaceae,Acer,"maple, Norway",M
-122.638827828027,45.5617044057982,2010-10-09,MA,Poor,CONCORDIA,Rosaceae,Malus,crabapple,S
-122.572339953826,45.5755233187779,2016-09-22,ACPL,Poor,PDX,Sapindaceae,Acer,"maple, Norway",M
-122.550652795694,45.5101501857618,2014-10-02,PRCH,Fair,HAZELWOOD,Rosaceae,Prunus,cherry,S
-122.616776385081,45.491452459112,2016-07-20,ACPL,Fair,CRESTON-KENILWORTH,Sapindaceae,Acer,"maple, Norway",M
-122.656188766226,45.5659460222579,2015-09-21,PSME,Good,KING,Pinaceae,Pseudotsuga,Douglas-fir,L
-122.640931991443,45.5207916981017,2015-09-08,ACPL,Fair,BUCKMAN,Sapindaceae,Acer,"maple, Norway",M
-122.477323704429,45.5498832498693,2016-07-22,CADE,Fair,WILKES,Cupressaceae,Calocedrus,incense cedar,L
-122.621901837021,45.5384585550113,NA,MA,Fair,HOLLYWOOD,Rosaceae,Malus,crabapple,S
-122.620695089676,45.4840366428686,2013-07-27,CA,Good,WOODSTOCK,Betulaceae,Carpinus,hornbeam,M
-122.670445116023,45.5425234514825,2014-10-15,QU,Fair,ELIOT,Fagaceae,Quercus,"oak, deciduous",L
-122.651374065798,45.5718121376052,2015-08-29,QU,Fair,WOODLAWN,Fagaceae,Quercus,"oak, deciduous",L
-122.589724727923,45.4865954106263,2015-07-11,PRCH,Fair,MT. SCOTT-ARLETA,Rosaceae,Prunus,cherry,S
-122.721986366878,45.4779986374238,2016-08-31,NYSY,Good,HAYHURST,Cornaceae,Nyssa,tupelo,M
-122.622613617136,45.5435919549975,2016-08-19,TI,Fair,BEAUMONT-WILSHIRE,Malvaceae,Tilia,linden,L
-122.603459467357,45.5387603899724,NA,MAAP,Fair,ROSE CITY PARK,Rosaceae,Malus,apple,M
-122.49256093277,45.4976481886662,2015-07-08,PRCH,Good,CENTENNIAL,Rosaceae,Prunus,cherry,S
-122.62684898236,45.518540372241,2012-07-14,TI,Good,SUNNYSIDE,Malvaceae,Tilia,linden,L
-122.689327932366,45.5213895131933,NA,ACRU,Fair,GOOSE HOLLOW,Sapindaceae,Acer,"maple, red",M
-122.522261436037,45.5016520614369,2015-06-08,AL,Fair,POWELLHURST-GILBERT,Betulaceae,Alnus,alder,M
-122.594826156217,45.4680465317312,2016-06-15,PRCH,Fair,BRENTWOOD-DARLINGTON,Rosaceae,Prunus,cherry,S
-122.552734578483,45.5026933642398,2015-08-06,PRPL,Fair,POWELLHURST-GILBERT,Rosaceae,Prunus,plum,S
-122.632364542983,45.4671294976366,2011-06-25,ACPL,Good,EASTMORELAND,Sapindaceae,Acer,"maple, Norway",M
-122.601031484637,45.4761173109407,2015-09-28,QU,Good,MT. SCOTT-ARLETA,Fagaceae,Quercus,"oak, deciduous",L
-122.685386448293,45.5802151345565,2011-07-30,JN,Fair,KENTON,Cupressaceae,Juniperus,juniper,M
-122.657063005762,45.4645557563837,2011-08-04,TI,Good,SELLWOOD-MORELAND,Malvaceae,Tilia,linden,L
-122.558463144931,45.5087241000808,2014-09-10,PY,Fair,HAZELWOOD,Rosaceae,Pyrus,pear,M
-122.736011727477,45.5946052429657,2011-08-20,ACPA,Good,ST. JOHNS,Sapindaceae,Acer,"maple, Japanese",S
-122.681205457195,45.5275975192961,NA,PY,Fair,PEARL,Rosaceae,Pyrus,pear,M
