OBJECTID,FIPS,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN,sumOverCount
124,41051002203,124,1687174,15184566,0,1,1,0.780557903334214,0.413868654136442,1316937,2,1,0,1,0.780557903334214
125,41051000302,125,3844048,34596432,0,1,1,0.596835939613657,0.490533180120509,2294266,2,1,0,1,0.596835939613657
126,41051000401,126,1622230,14600070,0,1,1,0.735474008001331,0.44108048194835,1193108,2,1,0,1,0.735474008001331
127,41051000402,127,1399896,12599064,0,1,1,0.773591752530188,0.418506335612091,1082948,2,1,0,1,0.773591752530188
128,41051000501,128,1349139,12142251,0,1,1,0.806410607061244,0.395110794436649,1087960,2,1,0,1,0.806410607061244
129,41051000502,129,1718204,15463836,0,1,1,0.798241070326923,0.401313174428963,1371541,2,1,0,1,0.798241070326923
130,41051000601,130,2431411,21882699,0,1,1,0.814754477955393,0.388496613379098,1981003,2,1,0,1,0.814754477955393
131,41051000602,131,1983449,17851041,0,1,1,0.844052456100459,0.36280560559512,1674135,2,1,0,1,0.844052456100459
132,41051000701,132,1703214,15328926,0,1,1,0.78213072461828,0.412798079242581,1332136,2,1,0,1,0.78213072461828
133,41051000702,133,1684083,15156747,0,1,1,0.802560800150586,0.398066529881924,1351579,2,1,0,1,0.802560800150586
134,41051000801,134,1864274,16778466,0,1,1,0.756149578870917,0.429403531941986,1409670,2,1,0,1,0.756149578870917
135,41051000802,135,1592051,14328459,0,1,1,0.769625470540831,0.421072565759912,1225283,2,1,0,1,0.769625470540831
136,41051000901,136,1347954,12131586,0,1,1,0.708803119394282,0.454314051434927,955434,2,1,0,1,0.708803119394282
137,41051000902,137,1197768,10779912,0,1,1,0.771329673192137,0.419976437964617,923874,2,1,0,1,0.771329673192137
138,41051001e3,138,3018931,27170379,0,1,1,0.821858797037759,0.382631565307159,2481135,2,1,0,1,0.821858797037759
139,41051001101,139,1999632,17996688,0,1,1,0.929738571897229,0.255587088530955,1859135,2,1,0,1,0.929738571897229
140,41051001102,140,992165,8929485,0,1,1,0.841193753055187,0.365495311701964,834603,2,1,0,1,0.841193753055187
141,41051001201,141,1109199,9982791,0,1,1,0.65591566526836,0.47506873747272,727541,2,1,0,1,0.65591566526836
142,41051009101,142,1902757,17124813,0,1,1,0.761149742189886,0.426381064488277,1448283,2,1,0,1,0.761149742189886
143,41051009804,143,1389265,12503385,0,1,1,0.757299723234948,0.4287153512801,1052090,2,1,0,1,0.757299723234948
144,41051009702,144,1915691,17241219,0,1,1,0.80581419446038,0.395572595697109,1543691,2,1,0,1,0.80581419446038
145,41051006404,145,2121148,19090332,0,1,1,0.524275533814708,0.499410350771799,1112066,2,1,0,1,0.524275533814708
146,41051006403,146,2267676,20409084,0,1,1,0.623864255740238,0.484414746007919,1414722,2,1,0,1,0.623864255740238
147,41067030101,147,16740,150660,0,1,1,0.569952210274791,0.4950825065357,9541,2,1,0,1,0.569952210274791
148,41051000100,148,7018413,63165717,0,1,1,0.763544835563253,0.424904835990293,5358873,2,1,0,1,0.763544835563253
149,41067030102,149,254073,2286657,0,1,1,0.520307155817423,0.499587449224465,132196,2,1,0,1,0.520307155817423
150,41005020100,150,9790,88110,0,1,1,0.600715015321757,0.489751452972565,5881,2,1,0,1,0.600715015321757
151,41005020800,151,192204,1729836,0,1,1,0.491852406817756,0.499933612318012,94536,2,0,1,0,0.491852406817756
152,41005020900,152,131618,1184562,0,1,1,0.633241653877129,0.481919766841004,83346,2,1,0,1,0.633241653877129
153,41005021e3,153,37147,334323,0,1,1,0.753062158451557,0.431230267907807,27974,2,1,0,1,0.753062158451557
154,41067030300,154,20451,184059,0,1,1,0.87496943914723,0.330753563405766,17894,2,1,0,1,0.87496943914723
155,41067030402,155,129889,1169001,0,1,1,0.562911408972276,0.496026364844776,73116,2,1,0,1,0.562911408972276
156,41067030501,156,1385,12465,0,1,1,0.987725631768953,0.110107711426473,1368,2,1,0,1,0.987725631768953
157,41067030600,157,49999,449991,0,1,1,0.687813756275126,0.463385361177743,34390,2,1,0,1,0.687813756275126
158,41005021601,158,27615,248535,0,1,1,0.791055585732392,0.406554603975867,21845,2,1,0,1,0.791055585732392
159,41005020304,159,126,1134,0,1,1,0.484126984126984,0.499747983854958,61,2,0,1,0,0.484126984126984
160,41005020303,160,157,1413,0,1,1,0.694267515923567,0.460716976306373,109,2,1,0,1,0.694267515923567
161,41005022201,161,5040,45360,0,1,1,0.842261904761905,0.364495251750627,4245,2,1,0,1,0.842261904761905
162,41005022206,162,186070,1674630,0,1,1,0.765437738485516,0.423724919007243,142425,2,1,0,1,0.765437738485516
163,41005022208,163,1014736,9132624,0,1,1,0.372597404645149,0.483496203394451,378088,2,0,1,0,0.372597404645149
164,41067031508,164,90,810,0,0,0,0,0,0,1,0,0,0,0
165,41067030502,165,213240,1919160,0,1,1,0.730013130744701,0.443952654778661,155668,2,1,0,1,0.730013130744701
166,41067030700,166,11,99,1,1,0,1,0,11,1,1,1,1,1
167,53011041005,167,1410,12690,1,1,0,1,0,1410,1,1,1,1,1
168,53011041201,168,1324,11916,1,1,0,1,0,1324,1,1,1,1,1
169,53011041309,169,1484,13356,1,1,0,1,0,1484,1,1,1,1,1
170,53011042400,170,70428,633852,1,1,0,1,0,70428,1,1,1,1,1
171,53011043100,171,54458,490122,1,1,0,1,0,54458,1,1,1,1,1
172,53011042600,172,186000,1674e3,1,1,0,1,0,186e3,1,1,1,1,1
